"id","commune","Hamon","Macron","Asselineau","Fillon","Cheminade","Lassalle","Mélenchon","Le.Pen","Arthaud","Dupont.Aignan","Poutou","Inscrits","Abstentions","Votants","Blancs","Nuls","Exprimés"
"77090","La Chapelle-Saint-Sulpice",3,22,1,14,0,0,17,38,2,17,2,143,22,121,4,1,116
"77088","La Chapelle-la-Reine",63,233,14,217,3,8,213,412,6,88,11,1660,361,1299,27,4,1268
"77147","La Croix-en-Brie",12,58,6,97,0,1,62,132,3,27,8,516,89,427,16,5,406
"77182","La Ferté-Gaucher",82,301,20,379,3,13,313,614,17,63,26,2423,547,1876,24,21,1831
"77183","La Ferté-sous-Jouarre",177,855,50,639,9,37,856,1177,33,269,31,5715,1482,4233,72,28,4133
"77202","La Genevraye",23,94,6,95,1,4,81,125,2,25,5,547,79,468,6,1,461
"77210","La Grande-Paroisse",87,276,23,265,1,13,313,444,10,91,14,1872,295,1577,32,8,1537
"77225","La Haute-Maison",5,33,1,39,0,2,33,36,2,20,2,220,44,176,3,0,173
"77229","La Houssaye-en-Brie",51,201,9,173,3,12,173,273,6,90,5,1243,216,1027,30,1,996
"77267","La Madeleine-sur-Loing",6,47,5,27,0,2,39,60,5,14,2,254,41,213,4,2,207
"77389","La Rochette",97,466,19,507,7,16,224,242,8,128,11,2117,345,1772,36,11,1725
"77467","La Tombe",6,15,0,28,0,2,24,58,0,3,2,180,37,143,2,3,138
"77472","La Trétoire",7,43,2,55,1,2,48,90,2,17,4,349,71,278,7,0,271
"77243","Lagny-sur-Marne",674,2637,102,2007,29,73,2097,1635,42,553,82,12406,2261,10145,159,55,9931
"77244","Larchant",37,119,4,130,0,7,101,99,0,37,5,638,93,545,6,0,539
"77245","Laval-en-Brie",13,42,2,47,0,5,54,86,2,26,6,354,64,290,7,0,283
"77100","Le Châtelet-en-Brie",164,591,21,410,6,24,438,744,15,226,26,3278,555,2723,44,14,2665
"77291","Le Mesnil-Amelot",19,49,3,56,0,5,66,154,2,25,4,476,86,390,0,7,383
"77285","Le Mée-sur-Seine",540,1806,135,1037,15,61,2274,1543,52,404,92,11099,2941,8158,151,48,7959
"77363","Le Pin",30,163,9,139,2,6,139,281,9,70,7,1060,179,881,24,2,855
"77365","Le Plessis-Feu-Aussoux",13,38,11,56,0,1,58,109,1,32,2,368,36,332,7,4,321
"77367","Le Plessis-Placy",6,16,3,41,0,3,28,51,4,4,1,193,29,164,3,4,157
"77364","Le Plessis-aux-Bois",0,13,2,21,1,0,19,46,1,4,0,152,42,110,1,2,107
"77366","Le Plessis-l'Evêque",7,37,3,21,0,4,17,80,1,11,2,211,23,188,4,1,183
"77485","Le Vaudoué",24,113,5,129,0,7,86,130,3,26,0,641,107,534,8,3,523
"77091","Les Chapelles-Bourbon",17,55,4,33,0,0,40,92,2,21,3,321,49,272,5,0,267
"77165","Les Ecrennes",9,62,6,75,1,4,72,132,4,45,7,519,93,426,7,2,417
"77275","Les Marêts",7,10,1,17,0,0,12,29,0,4,4,116,30,86,2,0,84
"77347","Les Ormes-sur-Voulzie",26,84,3,70,0,6,82,157,6,42,10,628,130,498,10,2,486
"77247","Lescherolles",11,48,3,47,0,3,44,99,4,21,7,366,66,300,7,6,287
"77248","Lesches",22,93,4,106,1,5,63,101,1,37,2,515,70,445,9,1,435
